citing_author,cited_author,cite_year
145,322,2018
384,322,2018
145,708,2018
384,708,2018
145,18,2018
384,18,2018
145,205,2018
384,205,2018
145,113,2018
384,113,2018
145,49,2018
384,49,2018
145,100,2018
384,100,2018
507,205,2018
441,205,2018
229,205,2018
507,113,2018
441,113,2018
229,113,2018
507,49,2018
441,49,2018
229,49,2018
507,666,2018
441,666,2018
229,666,2018
507,439,2018
441,439,2018
229,439,2018
507,122,2018
441,122,2018
229,122,2018
507,682,2018
441,682,2018
229,682,2018
507,699,2018
441,699,2018
229,699,2018
507,215,2018
441,215,2018
229,215,2018
507,457,2018
441,457,2018
229,457,2018
507,536,2018
441,536,2018
229,536,2018
507,707,2018
441,707,2018
229,707,2018
507,447,2018
441,447,2018
229,447,2018
507,744,2018
441,744,2018
229,744,2018
32,205,2015
32,113,2015
32,49,2015
32,666,2015
32,327,2015
32,10,2015
32,250,2015
32,231,2015
32,122,2015
32,337,2015
32,678,2015
32,699,2015
32,599,2015
32,515,2015
32,205,2014
559,205,2014
32,113,2014
559,113,2014
32,49,2014
559,49,2014
32,666,2014
559,666,2014
32,678,2014
559,678,2014
32,457,2014
559,457,2014
32,200,2014
559,200,2014
32,286,2014
559,286,2014
32,279,2014
559,279,2014
32,55,2014
559,55,2014
146,205,2015
328,205,2015
218,205,2015
277,205,2015
146,113,2015
328,113,2015
218,113,2015
277,113,2015
146,49,2015
328,49,2015
218,49,2015
277,49,2015
47,100,2019
329,100,2019
523,100,2019
683,100,2019
12,100,2019
47,585,2019
329,585,2019
523,585,2019
683,585,2019
12,585,2019
47,707,2019
329,707,2019
523,707,2019
683,707,2019
12,707,2019
47,308,2019
329,308,2019
523,308,2019
683,308,2019
12,308,2019
47,420,2019
329,420,2019
523,420,2019
683,420,2019
12,420,2019
47,560,2019
329,560,2019
523,560,2019
683,560,2019
12,560,2019
740,100,2013
695,100,2013
740,290,2013
695,290,2013
740,641,2013
695,641,2013
740,682,2013
695,682,2013
740,699,2013
695,699,2013
740,545,2013
695,545,2013
740,593,2013
695,593,2013
740,280,2013
695,280,2013
740,744,2013
695,744,2013
740,205,2013
695,205,2013
740,49,2013
695,49,2013
740,569,2013
695,569,2013
740,601,2013
695,601,2013
734,100,2011
734,343,2011
734,122,2011
734,682,2011
734,657,2011
734,364,2011
734,588,2011
734,635,2011
734,55,2011
734,200,2011
734,286,2011
734,279,2011
454,100,2015
46,100,2015
745,100,2015
604,100,2015
454,585,2015
46,585,2015
745,585,2015
604,585,2015
454,180,2015
46,180,2015
745,180,2015
604,180,2015
454,255,2015
46,255,2015
745,255,2015
604,255,2015
454,486,2015
46,486,2015
745,486,2015
604,486,2015
454,193,2015
46,193,2015
