full_name,first_when,second_when,third_when,first_where,second_where,third_where,first_where_comb,second_where_comb,rank,cite_count,cite_year
Valian,2001,2002,2005,Proposal,Outcome,Solicit,Proposal,Outcome,1,1,2002
Valian,2001,2002,2005,Proposal,Outcome,Solicit,Proposal,Outcome,1,1,2003
Valian,2001,2002,2005,Proposal,Outcome,Solicit,Proposal,Outcome,1,3,2004
Valian,2001,2002,2005,Proposal,Outcome,Solicit,Proposal,Outcome,1,2,2005
Valian,2001,2002,2005,Proposal,Outcome,Solicit,Proposal,Outcome,1,11,2006
Valian,2001,2002,2005,Proposal,Outcome,Solicit,Proposal,Outcome,1,36,2007
Valian,2001,2002,2005,Proposal,Outcome,Solicit,Proposal,Outcome,1,21,2008
Valian,2001,2002,2005,Proposal,Outcome,Solicit,Proposal,Outcome,1,4,2009
Valian,2001,2002,2005,Proposal,Outcome,Solicit,Proposal,Outcome,1,10,2010
Valian,2001,2002,2005,Proposal,Outcome,Solicit,Proposal,Outcome,1,7,2011
Valian,2001,2002,2005,Proposal,Outcome,Solicit,Proposal,Outcome,1,8,2012
Valian,2001,2002,2005,Proposal,Outcome,Solicit,Proposal,Outcome,1,21,2013
Valian,2001,2002,2005,Proposal,Outcome,Solicit,Proposal,Outcome,1,17,2014
Valian,2001,2002,2005,Proposal,Outcome,Solicit,Proposal,Outcome,1,26,2015
Valian,2001,2002,2005,Proposal,Outcome,Solicit,Proposal,Outcome,1,13,2016
Valian,2001,2002,2005,Proposal,Outcome,Solicit,Proposal,Outcome,1,13,2017
Valian,2001,2002,2005,Proposal,Outcome,Solicit,Proposal,Outcome,1,3,2018
Valian,2001,2002,2005,Proposal,Outcome,Solicit,Proposal,Outcome,1,18,2019
Valian,2001,2002,2005,Proposal,Outcome,Solicit,Proposal,Outcome,1,4,2020
Valian,2001,2002,2005,Proposal,Outcome,Solicit,Proposal,Outcome,1,4,2021
Valian,2001,2002,2005,Proposal,Outcome,Solicit,Proposal,Outcome,1,0,2001
Acker,2002,2005,NA,Proposal,Outcome,Solicit,Proposal,Outcome,2,1,2005
Acker,2002,2005,NA,Proposal,Outcome,Solicit,Proposal,Outcome,2,2,2006
Acker,2002,2005,NA,Proposal,Outcome,Solicit,Proposal,Outcome,2,1,2007
Acker,2002,2005,NA,Proposal,Outcome,Solicit,Proposal,Outcome,2,0,2008
Acker,2002,2005,NA,Proposal,Outcome,Solicit,Proposal,Outcome,2,0,2009
Acker,2002,2005,NA,Proposal,Outcome,Solicit,Proposal,Outcome,2,3,2010
Acker,2002,2005,NA,Proposal,Outcome,Solicit,Proposal,Outcome,2,15,2011
Acker,2002,2005,NA,Proposal,Outcome,Solicit,Proposal,Outcome,2,4,2012
Acker,2002,2005,NA,Proposal,Outcome,Solicit,Proposal,Outcome,2,19,2013
Acker,2002,2005,NA,Proposal,Outcome,Solicit,Proposal,Outcome,2,12,2014
Acker,2002,2005,NA,Proposal,Outcome,Solicit,Proposal,Outcome,2,33,2015
Acker,2002,2005,NA,Proposal,Outcome,Solicit,Proposal,Outcome,2,46,2016
Acker,2002,2005,NA,Proposal,Outcome,Solicit,Proposal,Outcome,2,25,2017
Acker,2002,2005,NA,Proposal,Outcome,Solicit,Proposal,Outcome,2,14,2018
Acker,2002,2005,NA,Proposal,Outcome,Solicit,Proposal,Outcome,2,16,2019
Acker,2002,2005,NA,Proposal,Outcome,Solicit,Proposal,Outcome,2,5,2020
Acker,2002,2005,NA,Proposal,Outcome,Solicit,Proposal,Outcome,2,2,2021
Acker,2002,2005,NA,Proposal,Outcome,Solicit,Proposal,Outcome,2,0,2002
Acker,2002,2005,NA,Proposal,Outcome,Solicit,Proposal,Outcome,2,0,2003
Acker,2002,2005,NA,Proposal,Outcome,Solicit,Proposal,Outcome,2,0,2004
Rosser,2001,2004,2007,Proposal,Outcome,Solicit,Proposal,Outcome,3,8,2004
Rosser,2001,2004,2007,Proposal,Outcome,Solicit,Proposal,Outcome,3,0,2005
Rosser,2001,2004,2007,Proposal,Outcome,Solicit,Proposal,Outcome,3,52,2006
Rosser,2001,2004,2007,Proposal,Outcome,Solicit,Proposal,Outcome,3,13,2007
Rosser,2001,2004,2007,Proposal,Outcome,Solicit,Proposal,Outcome,3,14,2008
Rosser,2001,2004,2007,Proposal,Outcome,Solicit,Proposal,Outcome,3,10,2009
Rosser,2001,2004,2007,Proposal,Outcome,Solicit,Proposal,Outcome,3,3,2010
Rosser,2001,2004,2007,Proposal,Outcome,Solicit,Proposal,Outcome,3,14,2011
Rosser,2001,2004,2007,Proposal,Outcome,Solicit,Proposal,Outcome,3,8,2012
Rosser,2001,2004,2007,Proposal,Outcome,Solicit,Proposal,Outcome,3,10,2013
Rosser,2001,2004,2007,Proposal,Outcome,Solicit,Proposal,Outcome,3,5,2014
Rosser,2001,2004,2007,Proposal,Outcome,Solicit,Proposal,Outcome,3,3,2015
Rosser,2001,2004,2007,Proposal,Outcome,Solicit,Proposal,Outcome,3,6,2016
Rosser,2001,2004,2007,Proposal,Outcome,Solicit,Proposal,Outcome,3,2,2017
Rosser,2001,2004,2007,Proposal,Outcome,Solicit,Proposal,Outcome,3,2,2018
Rosser,2001,2004,2007,Proposal,Outcome,Solicit,Proposal,Outcome,3,36,2019
Rosser,2001,2004,2007,Proposal,Outcome,Solicit,Proposal,Outcome,3,9,2020
Rosser,2001,2004,2007,Proposal,Outcome,Solicit,Proposal,Outcome,3,0,2001
Rosser,2001,2004,2007,Proposal,Outcome,Solicit,Proposal,Outcome,3,0,2002
Rosser,2001,2004,2007,Proposal,Outcome,Solicit,Proposal,Outcome,3,0,2003
O'Meara,2010,2011,NA,Proposal,Outcome,Solicit,Proposal,Outcome,4,2,2011
O'Meara,2010,2011,NA,Proposal,Outcome,Solicit,Proposal,Outcome,4,1,2012
O'Meara,2010,2011,NA,Proposal,Outcome,Solicit,Proposal,Outcome,4,36,2013
O'Meara,2010,2011,NA,Proposal,Outcome,Solicit,Proposal,Outcome,4,31,2014
O'Meara,2010,2011,NA,Proposal,Outcome,Solicit,Proposal,Outcome,4,7,2015
O'Meara,2010,2011,NA,Proposal,Outcome,Solicit,Proposal,Outcome,4,9,2016
O'Meara,2010,2011,NA,Proposal,Outcome,Solicit,Proposal,Outcome,4,21,2017
O'Meara,2010,2011,NA,Proposal,Outcome,Solicit,Proposal,Outcome,4,7,2018
O'Meara,2010,2011,NA,Proposal,Outcome,Solicit,Proposal,Outcome,4,9,2019
O'Meara,2010,2011,NA,Proposal,Outcome,Solicit,Proposal,Outcome,4,45,2020
O'Meara,2010,2011,NA,Proposal,Outcome,Solicit,Proposal,Outcome,4,0,2010
Fox,2001,2003,2009,Proposal,Outcome,Solicit,Proposal,Outcome,5,2,2003
Fox,2001,2003,2009,Proposal,Outcome,Solicit,Proposal,Outcome,5,2,2004
Fox,2001,2003,2009,Proposal,Outcome,Solicit,Proposal,Outcome,5,0,2005
Fox,2001,2003,2009,Proposal,Outcome,Solicit,Proposal,Outcome,5,2,2006
Fox,2001,2003,2009,Proposal,Outcome,Solicit,Proposal,Outcome,5,24,2007
Fox,2001,2003,2009,Proposal,Outcome,Solicit,Proposal,Outcome,5,2,2008
Fox,2001,2003,2009,Proposal,Outcome,Solicit,Proposal,Outcome,5,1,2009
Fox,2001,2003,2009,Proposal,Outcome,Solicit,Proposal,Outcome,5,18,2010
Fox,2001,2003,2009,Proposal,Outcome,Solicit,Proposal,Outcome,5,19,2011
Fox,2001,2003,2009,Proposal,Outcome,Solicit,Proposal,Outcome,5,4,2012
Fox,2001,2003,2009,Proposal,Outcome,Solicit,Proposal,Outcome,5,10,2013
Fox,2001,2003,2009,Proposal,Outcome,Solicit,Proposal,Outcome,5,12,2014
Fox,2001,2003,2009,Proposal,Outcome,Solicit,Proposal,Outcome,5,7,2015
Fox,2001,2003,2009,Proposal,Outcome,Solicit,Proposal,Outcome,5,15,2016
