citing_doc,cited_doc,cite_year
290,625,2018
290,645,2018
290,24,2018
63,645,2018
63,295,2018
63,655,2018
63,553,2018
63,562,2018
63,71,2018
63,342,2018
63,344,2018
63,363,2018
63,216,2018
63,377,2018
63,238,2018
63,277,2018
63,214,2018
4,645,2015
4,295,2015
4,156,2015
4,162,2015
4,216,2015
4,52,2015
4,385,2015
4,412,2015
85,645,2014
85,295,2014
85,274,2014
85,344,2014
85,244,2014
85,750,2014
85,413,2014
140,645,2015
22,24,2019
22,67,2019
22,219,2019
22,309,2019
22,742,2019
22,415,2019
22,419,2019
302,24,2013
302,521,2013
302,165,2013
302,414,2013
302,386,2013
302,73,2013
302,277,2013
302,371,2013
302,366,2013
302,460,2013
302,461,2013
105,24,2011
105,14,2011
105,349,2011
105,72,2011
105,477,2011
105,374,2011
105,763,2011
105,244,2011
307,24,2015
307,67,2015
307,622,2015
307,620,2015
307,496,2015
307,621,2015
307,498,2015
307,499,2015
307,500,2015
307,502,2015
307,503,2015
202,24,2012
202,14,2012
202,157,2012
202,371,2012
202,244,2012
202,667,2012
202,668,2012
202,601,2012
202,602,2012
202,339,2012
202,340,2012
202,341,2012
111,24,2011
111,371,2011
28,24,2015
196,295,2019
196,473,2019
196,164,2019
196,349,2019
196,72,2019
196,761,2019
196,477,2019
196,478,2019
133,374,2012
133,84,2012
133,783,2012
114,72,2017
114,465,2017
241,274,2013
241,655,2013
241,117,2013
241,668,2013
241,747,2013
241,748,2013
241,390,2013
163,34,2019
199,72,2015
199,627,2015
199,628,2015
199,511,2015
199,512,2015
199,513,2015
313,165,2008
313,74,2008
313,221,2008
143,216,2018
143,212,2018
17,277,2012
17,72,2012
17,212,2012
17,456,2012
175,417,2009
175,30,2009
257,215,2009
257,555,2009
257,556,2009
90,14,2016
90,48,2016
90,277,2016
90,369,2016
90,44,2016
90,662,2016
90,582,2016
179,277,2008
179,225,2008
179,669,2008
179,333,2008
179,701,2008
179,735,2008
179,736,2008
179,737,2008
179,343,2008
178,219,2009
178,706,2009
178,380,2009
178,343,2009
178,708,2009
178,758,2009
128,156,2010
128,165,2010
128,164,2010
128,117,2010
128,731,2010
128,408,2010
128,409,2010
122,72,2005
122,451,2005
291,14,2016
291,295,2016
291,165,2016
291,274,2016
291,164,2016
291,277,2016
291,320,2016
291,157,2016
291,619,2016
291,278,2016
291,477,2016
291,369,2016
291,44,2016
291,368,2016
291,370,2016
88,781,2014
88,529,2014
275,277,2014
69,14,2014
69,414,2014
69,643,2014
69,386,2014
69,467,2014
69,263,2014
69,73,2014
316,14,2014
316,156,2014
316,274,2014
316,320,2014
316,72,2014
316,46,2014
316,606,2014
316,607,2014
316,608,2014
316,47,2014
316,465,2014
316,466,2014
134,14,2017
134,156,2017
134,274,2017
134,366,2017
134,47,2017
134,424,2017
109,14,2015
109,414,2015
109,73,2015
109,216,2015
109,117,2015
109,349,2015
109,72,2015
109,447,2015
109,619,2015
109,624,2015
109,465,2015
109,610,2015
109,244,2015
109,623,2015
109,626,2015
109,506,2015
109,507,2015
109,508,2015
205,476,2015
205,277,2015
32,661,2020
32,521,2020
32,694,2020
32,612,2020
32,603,2020
32,14,2020
32,295,2020
32,471,2020
32,410,2020
32,156,2020
184,521,2017
184,14,2017
184,48,2017
184,473,2017
184,30,2017
184,761,2017
184,329,2017
184,722,2017
184,713,2017
184,780,2017
184,732,2017
184,519,2017
184,520,2017
184,213,2017
184,522,2017
184,523,2017
184,524,2017
184,525,2017
184,526,2017
91,521,2009
91,277,2009
136,521,2010
136,165,2010
136,164,2010
136,553,2010
136,342,2010
136,349,2010
136,72,2010
136,445,2010
136,215,2010
136,277,2010
136,604,2010
136,656,2010
136,657,2010
136,658,2010
136,372,2010
136,543,2010
136,589,2010
136,375,2010
198,612,2017
198,295,2017
34,612,2017
34,14,2017
34,295,2017
34,48,2017
34,165,2017
34,164,2017
34,216,2017
34,52,2017
34,349,2017
34,72,2017
34,215,2017
34,369,2017
34,626,2017
34,44,2017
34,549,2017
252,612,2018
42,14,2019
42,48,2019
42,34,2019
42,165,2019
42,274,2019
42,476,2019
42,473,2019
42,554,2019
42,162,2019
42,164,2019
42,308,2019
137,14,2018
137,164,2018
137,622,2018
137,444,2018
137,46,2018
137,445,2018
149,14,2019
149,48,2019
149,458,2019
11,14,2017
11,417,2017
11,30,2017
11,278,2017
11,373,2017
191,14,2019
191,34,2019
191,274,2019
191,473,2019
191,320,2019
191,219,2019
191,468,2019
237,14,2018
237,48,2018
237,720,2018
237,10,2018
99,14,2014
99,274,2014
99,277,2014
99,775,2014
99,777,2014
99,490,2014
317,14,2017
317,34,2017
317,274,2017
317,320,2017
317,630,2017
317,778,2017
274,14,2011
274,48,2011
274,165,2011
274,162,2011
274,164,2011
274,52,2011
274,74,2011
274,215,2011
274,277,2011
274,369,2011
274,630,2011
274,221,2011
274,640,2011
274,537,2011
274,538,2011
274,539,2011
274,540,2011
274,227,2011
6,14,2010
6,476,2010
6,72,2010
6,626,2010
6,640,2010
6,641,2010
6,642,2010
6,541,2010
47,14,2010
47,48,2010
47,553,2010
47,607,2010
47,547,2010
47,548,2010
246,14,2011
246,48,2011
246,165,2011
246,274,2011
246,164,2011
246,553,2011
246,216,2011
246,349,2011
246,72,2011
246,46,2011
246,369,2011
246,227,2011
246,644,2011
246,550,2011
246,551,2011
246,552,2011
15,14,2006
15,156,2006
15,67,2006
15,215,2006
15,44,2006
15,68,2006
15,557,2006
15,43,2006
15,225,2006
73,14,2007
73,386,2007
73,562,2007
73,71,2007
73,72,2007
73,465,2007
73,646,2007
73,560,2007
73,561,2007
73,212,2007
97,14,2012
97,48,2012
97,320,2012
97,619,2012
97,630,2012
97,277,2012
97,649,2012
97,650,2012
97,569,2012
301,14,2013
301,48,2013
301,165,2013
301,274,2013
301,164,2013
301,277,2013
301,219,2013
301,374,2013
139,14,2018
139,165,2018
139,164,2018
139,417,2018
139,30,2018
139,44,2018
139,221,2018
139,592,2018
139,593,2018
264,14,2014
264,274,2014
264,216,2014
264,320,2014
264,353,2014
264,74,2014
264,46,2014
264,208,2014
264,595,2014
264,596,2014
292,14,2013
292,414,2013
292,655,2013
292,72,2013
292,663,2013
292,277,2013
292,463,2013
292,465,2013
292,508,2013
292,638,2013
292,212,2013
292,649,2013
292,662,2013
292,664,2013
292,665,2013
292,598,2013
292,599,2013
170,14,2019
170,274,2019
170,353,2019
170,74,2019
170,219,2019
170,277,2019
170,666,2019
170,600,2019
182,14,2019
182,655,2019
182,349,2019
182,72,2019
182,738,2019
279,14,2019
279,34,2019
279,162,2019
279,164,2019
279,320,2019
279,353,2019
279,74,2019
279,219,2019
279,277,2019
279,47,2019
279,672,2019
279,352,2019
5,14,2015
5,274,2015
5,277,2015
5,320,2015
5,366,2015
5,365,2015
5,367,2015
168,14,2017
168,295,2017
168,320,2017
168,277,2017
168,373,2017
168,374,2017
168,26,2017
168,84,2017
168,372,2017
168,375,2017
168,367,2017
110,14,2015
110,295,2015
110,274,2015
110,320,2015
110,353,2015
110,74,2015
110,677,2015
110,376,2015
289,14,2015
289,274,2015
289,386,2015
289,215,2015
289,87,2015
289,277,2015
289,278,2015
289,728,2015
289,146,2015
289,703,2015
289,385,2015
289,387,2015
289,388,2015
289,389,2015
289,29,2015
286,14,2017
286,156,2017
286,349,2017
286,277,2017
286,411,2017
296,14,2016
296,295,2016
296,156,2016
296,165,2016
296,164,2016
296,216,2016
296,417,2016
296,30,2016
296,619,2016
296,366,2016
296,611,2016
296,477,2016
296,418,2016
311,14,2018
311,414,2018
311,386,2018
311,73,2018
311,624,2018
311,623,2018
311,691,2018
311,420,2018
311,421,2018
75,295,2020
75,417,2020
75,434,2020
75,157,2020
75,30,2020
161,295,2019
94,295,2020
94,374,2020
94,145,2020
94,647,2020
94,568,2020
94,84,2020
94,223,2020
7,410,2016
7,117,2016
7,157,2016
7,244,2016
121,156,2006
121,72,2006
318,34,2019
318,274,2019
318,473,2019
318,308,2019
318,216,2019
318,320,2019
318,419,2019
318,208,2019
318,369,2019
318,631,2019
318,633,2019
318,634,2019
318,357,2019
318,516,2019
318,44,2019
300,238,2010
300,117,2010
300,607,2010
300,610,2010
300,731,2010
300,209,2010
305,117,2011
305,157,2011
305,610,2011
305,577,2011
305,578,2011
305,579,2011
155,10,2016
155,76,2016
155,597,2016
106,277,2017
13,48,2010
13,67,2010
13,785,2010
13,533,2010
