cite_year,int_type,int_count
2009,Descriptive,0
2009,Author,0
2009,Intersectional[ity],0
2010,Descriptive,2
2010,Author,1
2010,Intersectional[ity],1
2011,Descriptive,0
2011,Author,0
2011,Intersectional[ity],0
2012,Descriptive,1
2012,Author,0
2012,Intersectional[ity],0
2013,Descriptive,0
2013,Author,0
2013,Intersectional[ity],0
2014,Descriptive,3
2014,Author,1
2014,Intersectional[ity],1
2015,Descriptive,7
2015,Author,3
2015,Intersectional[ity],3
2016,Descriptive,1
2016,Author,0
2016,Intersectional[ity],0
2017,Descriptive,5
2017,Author,1
2017,Intersectional[ity],2
2018,Descriptive,0
2018,Author,0
2018,Intersectional[ity],0
2019,Descriptive,11
2019,Author,3
2019,Intersectional[ity],7
2020,Descriptive,8
2020,Author,4
2020,Intersectional[ity],3
