source_cite,first_when,second_when,first_where,second_where,first_where_comb,second_where_comb,rank,cite_count,cite_year
Valian 1998,2001,2004,Proposal,Outcome,Proposal,Outcome,1,3,2004
Valian 1998,2001,2004,Proposal,Outcome,Proposal,Outcome,1,0,2005
Valian 1998,2001,2004,Proposal,Outcome,Proposal,Outcome,1,10,2006
Valian 1998,2001,2004,Proposal,Outcome,Proposal,Outcome,1,19,2007
Valian 1998,2001,2004,Proposal,Outcome,Proposal,Outcome,1,20,2008
Valian 1998,2001,2004,Proposal,Outcome,Proposal,Outcome,1,4,2009
Valian 1998,2001,2004,Proposal,Outcome,Proposal,Outcome,1,8,2010
Valian 1998,2001,2004,Proposal,Outcome,Proposal,Outcome,1,6,2011
Valian 1998,2001,2004,Proposal,Outcome,Proposal,Outcome,1,6,2012
Valian 1998,2001,2004,Proposal,Outcome,Proposal,Outcome,1,20,2013
Valian 1998,2001,2004,Proposal,Outcome,Proposal,Outcome,1,16,2014
Valian 1998,2001,2004,Proposal,Outcome,Proposal,Outcome,1,18,2015
Valian 1998,2001,2004,Proposal,Outcome,Proposal,Outcome,1,10,2016
Valian 1998,2001,2004,Proposal,Outcome,Proposal,Outcome,1,8,2017
Valian 1998,2001,2004,Proposal,Outcome,Proposal,Outcome,1,3,2018
Valian 1998,2001,2004,Proposal,Outcome,Proposal,Outcome,1,11,2019
Acker 1990,2002,2006,Proposal,Outcome,Proposal,Outcome,2,2,2006
Acker 1990,2002,2006,Proposal,Outcome,Proposal,Outcome,2,1,2007
Acker 1990,2002,2006,Proposal,Outcome,Proposal,Outcome,2,0,2008
Acker 1990,2002,2006,Proposal,Outcome,Proposal,Outcome,2,0,2009
Acker 1990,2002,2006,Proposal,Outcome,Proposal,Outcome,2,3,2010
Acker 1990,2002,2006,Proposal,Outcome,Proposal,Outcome,2,14,2011
Acker 1990,2002,2006,Proposal,Outcome,Proposal,Outcome,2,2,2012
Acker 1990,2002,2006,Proposal,Outcome,Proposal,Outcome,2,18,2013
Acker 1990,2002,2006,Proposal,Outcome,Proposal,Outcome,2,9,2014
Acker 1990,2002,2006,Proposal,Outcome,Proposal,Outcome,2,17,2015
Acker 1990,2002,2006,Proposal,Outcome,Proposal,Outcome,2,31,2016
Acker 1990,2002,2006,Proposal,Outcome,Proposal,Outcome,2,21,2017
Acker 1990,2002,2006,Proposal,Outcome,Proposal,Outcome,2,14,2018
Acker 1990,2002,2006,Proposal,Outcome,Proposal,Outcome,2,12,2019
Acker 1990,2002,2006,Proposal,Outcome,Proposal,Outcome,2,1,2020
Rosser 2004,2006,2006,Proposal,Outcome,Proposal & Outcome,Proposal & Outcome,3,38,2006
Rosser 2004,2006,2006,Proposal,Outcome,Proposal & Outcome,Proposal & Outcome,3,9,2007
Rosser 2004,2006,2006,Proposal,Outcome,Proposal & Outcome,Proposal & Outcome,3,3,2008
Rosser 2004,2006,2006,Proposal,Outcome,Proposal & Outcome,Proposal & Outcome,3,3,2009
Rosser 2004,2006,2006,Proposal,Outcome,Proposal & Outcome,Proposal & Outcome,3,3,2010
Rosser 2004,2006,2006,Proposal,Outcome,Proposal & Outcome,Proposal & Outcome,3,10,2011
Rosser 2004,2006,2006,Proposal,Outcome,Proposal & Outcome,Proposal & Outcome,3,0,2012
Rosser 2004,2006,2006,Proposal,Outcome,Proposal & Outcome,Proposal & Outcome,3,4,2013
Rosser 2004,2006,2006,Proposal,Outcome,Proposal & Outcome,Proposal & Outcome,3,2,2014
Rosser 2004,2006,2006,Proposal,Outcome,Proposal & Outcome,Proposal & Outcome,3,0,2015
Rosser 2004,2006,2006,Proposal,Outcome,Proposal & Outcome,Proposal & Outcome,3,4,2016
Rosser 2004,2006,2006,Proposal,Outcome,Proposal & Outcome,Proposal & Outcome,3,1,2017
Rosser 2004,2006,2006,Proposal,Outcome,Proposal & Outcome,Proposal & Outcome,3,1,2018
Rosser 2004,2006,2006,Proposal,Outcome,Proposal & Outcome,Proposal & Outcome,3,26,2019
Rosser 2004,2006,2006,Proposal,Outcome,Proposal & Outcome,Proposal & Outcome,3,2,2020
Bird 2011,2011,2018,Outcome,Proposal,Outcome,Proposal,4,3,2011
Bird 2011,2011,2018,Outcome,Proposal,Outcome,Proposal,4,0,2012
Bird 2011,2011,2018,Outcome,Proposal,Outcome,Proposal,4,12,2013
Bird 2011,2011,2018,Outcome,Proposal,Outcome,Proposal,4,14,2014
Bird 2011,2011,2018,Outcome,Proposal,Outcome,Proposal,4,12,2015
Bird 2011,2011,2018,Outcome,Proposal,Outcome,Proposal,4,5,2016
Bird 2011,2011,2018,Outcome,Proposal,Outcome,Proposal,4,3,2017
Bird 2011,2011,2018,Outcome,Proposal,Outcome,Proposal,4,0,2018
Bird 2011,2011,2018,Outcome,Proposal,Outcome,Proposal,4,22,2019
Bird 2011,2011,2018,Outcome,Proposal,Outcome,Proposal,4,1,2020
Bird 2011,2011,2018,Outcome,Proposal,Outcome,Proposal,4,1,2021
Kanter 1977a,2004,2012,Outcome,Proposal,Outcome,Proposal,5,2,2004
Kanter 1977a,2004,2012,Outcome,Proposal,Outcome,Proposal,5,0,2005
Kanter 1977a,2004,2012,Outcome,Proposal,Outcome,Proposal,5,5,2006
Kanter 1977a,2004,2012,Outcome,Proposal,Outcome,Proposal,5,3,2007
Kanter 1977a,2004,2012,Outcome,Proposal,Outcome,Proposal,5,2,2008
Kanter 1977a,2004,2012,Outcome,Proposal,Outcome,Proposal,5,1,2009
Kanter 1977a,2004,2012,Outcome,Proposal,Outcome,Proposal,5,5,2010
Kanter 1977a,2004,2012,Outcome,Proposal,Outcome,Proposal,5,7,2011
Kanter 1977a,2004,2012,Outcome,Proposal,Outcome,Proposal,5,1,2012
Kanter 1977a,2004,2012,Outcome,Proposal,Outcome,Proposal,5,4,2013
Kanter 1977a,2004,2012,Outcome,Proposal,Outcome,Proposal,5,3,2014
Kanter 1977a,2004,2012,Outcome,Proposal,Outcome,Proposal,5,0,2015
Kanter 1977a,2004,2012,Outcome,Proposal,Outcome,Proposal,5,4,2016
Kanter 1977a,2004,2012,Outcome,Proposal,Outcome,Proposal,5,1,2017
Kanter 1977a,2004,2012,Outcome,Proposal,Outcome,Proposal,5,2,2018
Kanter 1977a,2004,2012,Outcome,Proposal,Outcome,Proposal,5,7,2019
Kanter 1977a,2004,2012,Outcome,Proposal,Outcome,Proposal,5,2,2020
Kanter 1977b,2002,2003,Proposal,Outcome,Proposal,Outcome,6,5,2003
Kanter 1977b,2002,2003,Proposal,Outcome,Proposal,Outcome,6,2,2004
Kanter 1977b,2002,2003,Proposal,Outcome,Proposal,Outcome,6,0,2005
Kanter 1977b,2002,2003,Proposal,Outcome,Proposal,Outcome,6,3,2006
Kanter 1977b,2002,2003,Proposal,Outcome,Proposal,Outcome,6,1,2007
Kanter 1977b,2002,2003,Proposal,Outcome,Proposal,Outcome,6,7,2008
Kanter 1977b,2002,2003,Proposal,Outcome,Proposal,Outcome,6,1,2009
Kanter 1977b,2002,2003,Proposal,Outcome,Proposal,Outcome,6,8,2010
Kanter 1977b,2002,2003,Proposal,Outcome,Proposal,Outcome,6,3,2011
Kanter 1977b,2002,2003,Proposal,Outcome,Proposal,Outcome,6,2,2012
Kanter 1977b,2002,2003,Proposal,Outcome,Proposal,Outcome,6,7,2013
Kanter 1977b,2002,2003,Proposal,Outcome,Proposal,Outcome,6,1,2014
Kanter 1977b,2002,2003,Proposal,Outcome,Proposal,Outcome,6,1,2015
Kanter 1977b,2002,2003,Proposal,Outcome,Proposal,Outcome,6,3,2016
Kanter 1977b,2002,2003,Proposal,Outcome,Proposal,Outcome,6,1,2017
Kanter 1977b,2002,2003,Proposal,Outcome,Proposal,Outcome,6,1,2018
Kanter 1977b,2002,2003,Proposal,Outcome,Proposal,Outcome,6,2,2019
Kanter 1977b,2002,2003,Proposal,Outcome,Proposal,Outcome,6,1,2020
Britton 2000,2010,2016,Outcome,Proposal,Outcome,Proposal,13,2,2010
Britton 2000,2010,2016,Outcome,Proposal,Outcome,Proposal,13,6,2011
Britton 2000,2010,2016,Outcome,Proposal,Outcome,Proposal,13,2,2012
Britton 2000,2010,2016,Outcome,Proposal,Outcome,Proposal,13,9,2013
Britton 2000,2010,2016,Outcome,Proposal,Outcome,Proposal,13,0,2014
Britton 2000,2010,2016,Outcome,Proposal,Outcome,Proposal,13,0,2015
Britton 2000,2010,2016,Outcome,Proposal,Outcome,Proposal,13,4,2016
Britton 2000,2010,2016,Outcome,Proposal,Outcome,Proposal,13,4,2017
Britton 2000,2010,2016,Outcome,Proposal,Outcome,Proposal,13,2,2018
Britton 2000,2010,2016,Outcome,Proposal,Outcome,Proposal,13,12,2019
Correll 2004,2005,2006,Outcome,Proposal,Outcome,Proposal,14,1,2005
Correll 2004,2005,2006,Outcome,Proposal,Outcome,Proposal,14,2,2006
Correll 2004,2005,2006,Outcome,Proposal,Outcome,Proposal,14,1,2007
Correll 2004,2005,2006,Outcome,Proposal,Outcome,Proposal,14,2,2008
Correll 2004,2005,2006,Outcome,Proposal,Outcome,Proposal,14,0,2009
Correll 2004,2005,2006,Outcome,Proposal,Outcome,Proposal,14,3,2010
Correll 2004,2005,2006,Outcome,Proposal,Outcome,Proposal,14,5,2011
